region,amount
North Cape,15
Rangaunu Harbour,24
Inlets Far North District,0
Karikari Peninsula,12
Tangonge,18
Ahipara,15
Kaitaia East,51
Kaitaia West,63
Rangitihi,9
Oruru-Parapara,3
Taumarumaru,24
Herekino-Takahue,9
Peria,15
Taemaro-Oruaiti,12
Whakapaku,6
Hokianga North,6
Kohukohu-Broadwood,3
Whakarara,15
Kaeo,18
Omahuta Forest-Horeke,9
Hokianga South,24
Lake Manuwai-Kapiro,21
Okaihau,9
Rangitane-Purerua,9
Waipapa,12
Puketotara,18
Waima Forest,9
Riverview,15
Waipoua Forest,15
Kerikeri Central,27
Kerikeri South,18
Ohaeawai-Waimate North,18
Puketona-Waitangi,9
Ngapuhi,24
Kaikohe,90
Pakaraka,12
Haruru,12
Russell,3
Paihia,6
Mataraua Forest,9
Matawaia-Taumarere,18
Russell Peninsula,6
Opua (Far North District),9
Russell Forest-Rawhiti,9
Moerewa,24
Kawakawa,36
Maromaku,15
Mangakahia-Hukerenui,27
Whangaruru,27
Inlets Whangarei District,0
Matarau,30
Hikurangi,24
Kauri,15
Maungatapere,30
Kamo West,24
Matapouri-Tutukaka,15
Kiripaka,9
Kamo East,48
Granfield Reserve,33
Kamo Central,24
Whau Valley,36
Tikipunga North,57
Pukenui,15
Otangarei,48
Tikipunga South,54
Kensington ,39
Abbey Caves-Glenbervie,18
Mairtown,24
Maunu-Horahora,51
Woodhill-Vinetown,54
Whangarei Central,9
Riverside,18
Raumanga,66
Tarewa,33
Morningside,39
Ngunguru,15
Otaika-Portland,12
Oakleigh-Mangapai,24
Port-Limeburners,0
Pataua,15
Onerahi Park,15
Sherwood Rise,48
Onerahi,33
Inlet Whangarei Harbour,0
Parua Bay,24
Bream Bay,36
Marsden Bay,24
Ruakaka,33
Bream Head,9
Waipu,27
Kaipara Coastal,45
Maungaru,24
Dargaville,66
Ruawai-Matakohe,27
Otamatea,12
Maungaturoto,15
Kaiwaka,30
Mangawhai Rural,24
Mangawhai Heads,12
